Word,Definition,Etymology,Part_of_Speech,Date,Syllables,Phonetic,Offensive
malacostracan,any of a large subclass (Malacostraca) of crustaceans having a thorax consisting of eight segments usually covered by a carapace and including the decapods and isopods,"{{text,'"ultimately from Greek {it}malakostrakos{/it} soft-shelled, from {it}malakos{/it} soft + {it}ostrakon{/it} shell {ma}{mat|mollify|}, {mat|oyster|}{/ma}'"}}",noun,1835,mal*a*cos*tra*can,ˌma-lə-ˈkä-stri-kən,f
henna:2,to dye with henna,,verb,1851,henna,"",f
multitasking,the concurrent performance of several jobs by a computer,,noun,1966{ds||1||},mul*ti*task*ing,ˈməl-tē-ˌta-skiŋ,f
slaphappy,punch-drunk,,adjective,1936{ds||1||},slap*hap*py,ˈslap-ˌha-pē,f
precipitate:1,to throw violently : hurl,"{{text,'"Latin {it}praecipitatus{/it}, past participle of {it}praecipitare{/it}, from {it}praecipit-, praeceps{/it} {dx_ety}see {dxt|precipice||}{/dx_ety}'"}}",verb,1528{ds|t|1|a|},pre*cip*i*tate,pri-ˈsi-pə-ˌtāt,f
cardigan,a usually collarless sweater or jacket that opens the full length of the center front,"{{text,'"James Thomas Brudenell, 7th Earl of {it}Cardigan{/it} †1868 English soldier'"}}",noun,1862,car*di*gan,ˈkär-di-gən,f
Annamese,a native or inhabitant of Annam,,noun,1825{ds||1||},An*nam*ese,ˌa-nə-ˈmēz,f
falsify,to prove or declare false : disprove,"{{text,'"Middle English {it}falsifien{/it}, from Middle French {it}falsifier{/it}, from Medieval Latin {it}falsificare{/it}, from Latin {it}falsus{/it}'"}}",verb,15th century{ds|t|1||},fal*si*fy,ˈfȯl-sə-ˌfī,f
argument,"the act or process of arguing, reasoning, or discussing : argumentation","{{text,'"Middle English, from Anglo-French, from Latin {it}argumentum{/it}, from {it}arguere{/it} {dx_ety}see {dxt|argue||}{/dx_ety}'"}}",noun,14th century{ds||6||},ar*gu*ment,ˈär-gyə-mənt,f
condition:1,a premise upon which the fulfillment of an agreement depends : stipulation,"{{text,'"Middle English {it}condicion{/it}, from Anglo-French, from Latin {it}condicion-, condicio{/it} terms of agreement, condition, from {it}condicere{/it} to agree, from {it}com-{/it} + {it}dicere{/it} to say, determine {ma}{mat|diction|}{/ma}'"}}",noun,14th century{ds||1|a|},con*di*tion,kən-ˈdi-shən,f
unsafe,not safe: such as,,adjective,1597,un*safe,ˌən-ˈsāf,f
trench coat,"a usually double-breasted raincoat with deep pockets, wide belt, and often straps on the shoulders",,noun,1914{ds||2||},trench coat,"",f
spermatogonium,a primitive male germ cell,"{{text,'"New Latin'"}}",noun,1861,sper*mato*go*ni*um,(ˌ)spər-ˌma-tə-ˈgō-nē-əm,f
gradual:1,"moving, changing, or developing by fine or often imperceptible degrees","{{text,'"Medieval Latin {it}gradualis{/it}, from Latin {it}gradus{/it}'"}}",adjective,1658{ds||2||},grad*u*al,ˈgra-jə-wəl,f
consultive,consultative,,adjective,1616,con*sul*tive,kən-ˈsəl-tiv,f
whisk:1,a quick light brushing or whipping motion,"{{text,'"Middle English {it}wisk{/it}, probably of Scandinavian origin; akin to Old Norse {it}visk{/it} wisp; akin to Old English {it}wiscian{/it} to plait'"}}",noun,14th century{ds||1||},whisk,ˈ(h)wisk,f
pre-Socratic,of or relating to Greek philosophers before Socrates,,adjective,1871,pre-So*crat*ic,ˌprē-sə-ˈkra-tik,f
collegial,collegiate,"{{text,'"{dx_ety}see {dxt|college||}{/dx_ety}'"}}",adjective,14th century{ds||1||},col*le*gial,kə-ˈlē-j(ē-)əl,f
tuff,a rock composed of the finer kinds of volcanic detritus usually fused together by heat,"{{text,'"earlier {it}tuph, tuft{/it} porous rock, from Middle French {it}tuf{/it}, from Old Italian {it}tufo{/it}'"}}",noun,1815,tuff,ˈtəf,f
trephine,a surgical instrument for cutting out circular sections (as of bone or corneal tissue),"{{text,'"French {it}tréphine{/it}, from obsolete English {it}trefine, trafine{/it}, from Latin {it}tres fines{/it} three ends, from {it}tres{/it} three + {it}fines{/it}, plural of {it}finis{/it} end {ma}{mat|three|}{/ma}'"}}",noun,1628,tre*phine,ˈtrē-ˌfīn,f
blacken,to become dark or black,,verb,14th century{ds|i|||},black*en,ˈbla-kən,f
epiglottal,"of, relating to, or produced with the aid of the epiglottis",,adjective,1926,epi*glot*tal,ˌe-pə-ˈglä-tᵊl,f
faze,"to disturb the composure of : disconcert, daunt","{{text,'"alteration of {it}feeze{/it} to drive away, frighten, from Middle English {it}fesen{/it}, from Old English {it}fēsian{/it} to drive away'"}}",verb,1830,faze,ˈfāz,f
unequal:1,"not of the same measurement, quantity, or number as another",,adjective,1565{ds||1|a|},un*equal,ˌən-ˈē-kwəl,f
couldst,no definition,,,,couldst,kədst,f
allotype,an alloantigen that is part of a plasma protein (such as an antibody),"{{text,'"borrowed from French, from {it}allo-{/it} {et_link|allo-|allo-} + {it}-type{/it} {et_link|type:1|type:1}'"}}",noun,1960,al*lo*type,ˈa-lə-ˌtīp,f
mutual,directed by each toward the other or the others,"{{text,'"Middle French {it}mutuel{/it}, from Latin {it}mutuus{/it} lent, borrowed, mutual, from {it}mutare{/it} to change {ma}{mat|mutable|}{/ma}'"}}",adjective,15th century{ds||1|a|},mu*tu*al,ˈmyü-chə-wəl,f
etymologise,no definition,,,,et*y*mol*o*gise,"",f
unbureaucratic,not relating to or having the characteristics of a bureaucracy or a bureaucrat : not bureaucratic,,adjective,1865,un*bu*reau*crat*ic,ˌən-ˌbyu̇r-ə-ˈkra-tik,f
overbalance:1,outweigh,,verb,1605{ds||1||},over*bal*ance,ˌō-vər-ˈba-lən(t)s,f
spheroid,a figure resembling a sphere; also : an object of approximately spherical shape,,noun,1570,spher*oid,ˈsfir-ˌȯid,f
brownnose,to ingratiate oneself with : curry favor with,"{{text,'"from the implication that servility is equivalent to having one''s nose in the anus of the person from whom advancement is sought'"}}",verb,1938,brown*nose,ˈbrau̇(n)-ˌnōz,t
nonbiological,not biological: such as,,adjective,circa 1871,non*bi*o*log*i*cal,ˌnän-ˌbī-ə-ˈlä-ji-kəl,f
forgive,to cease to feel resentment against (an offender) : pardon,"{{text,'"Middle English, from Old English {it}forgifan{/it}, from {it}for-{/it} + {it}gifan{/it} to give'"}}",verb,before 12th century{ds|t|2|a|},for*give,fər-ˈgiv,f
epoxy:1,epoxy resin,,noun,1954,ep*oxy,i-ˈpäk-sē,f
commiserate,to feel or express sympathy : condole,"{{text,'"Latin {it}commiseratus{/it}, past participle of {it}commiserari{/it}, from {it}com-{/it} + {it}miserari{/it} to pity, from {it}miser{/it} wretched'"}}",verb,circa 1584{ds|t|||},com*mis*er*ate,kə-ˈmi-zə-ˌrāt,f
baton,"cudgel, truncheon; specifically : billy club","{{text,'"French {it}bâton{/it}, from Old French {it}baston{/it}, ultimately from Late Latin {it}bastum{/it} stick'"}}",noun,1520{ds||1||},ba*ton,bə-ˈtän,f
tropic:1,either of the two parallels of terrestrial latitude at a distance of about 231/2 degrees north or south of the equator where the sun is directly overhead when it reaches its most northerly or southerly point in the sky,"{{text,'"Middle English {it}tropik,{/it} borrowed from Middle French & Late Latin; Middle French {it}tropike, tropique,{/it} borrowed from Late Latin {it}tropicus{/it} (short for {it}tropicus circulus{/it}), noun derivative of Latin {it}tropicus{/it} \'"of a solstice or equinox,\'" borrowed from Greek {it}tropikós,{/it} from {it}tropḗ{/it} \'"turn, change, solstitial point\'" (noun derivative from the base of {it}trépein{/it} \'"to turn\'") + {it}-ikos{/it} {et_link|-ic:1|-ic:1} {ma}{mat|trope|}{/ma}'"}}",noun,15th century{ds||1||},trop*ic,ˈträ-pik,f
fantasise,no definition,,,,fan*ta*sise,"",f
gaffe,a social or diplomatic blunder,"{{text,'"borrowed from French, probably a sense development of {it}gaffe{/it} {et_link|gaff:1|gaff:1}'"}}",noun,1909{ds||1||},gaffe,ˈgaf,f
unassuageable,not capable of being assuaged,,adjective,circa 1611,un*as*suage*able,ˌən-ə-ˈswā-jə-bəl,f
stipend,a fixed sum of money paid periodically for services or to defray expenses,"{{text,'"Middle English, alteration of {it}stipendy{/it}, from Latin {it}stipendium{/it}, from {it}stip-, stips{/it} gift + {it}pendere{/it} to weigh, pay'"}}",noun,15th century,sti*pend,ˈstī-ˌpend,f
Sestos:g,ruined town of Turkey in Europe on the Dardanelles,,geographical name,,Ses*tos,ˈse-stəs,f
janitor,"one who keeps the premises of a building (such as an apartment or office) clean, tends the heating system, and makes minor repairs","{{text,'"Latin, from {it}janus{/it} arch, gate'"}}",noun,1629{ds||2||},jan*i*tor,ˈja-nə-tər,f
goodly,pleasantly attractive,,adjective,before 12th century{ds||1||},good*ly,ˈgu̇d-lē,f
shopwindow,a display window of a store,,noun,15th century,shop*win*dow,ˈshäp-ˌwin-(ˌ)dō,f
humiliate,to reduce (someone) to a lower position in one's own eyes or others' eyes : to make (someone) ashamed or embarrassed : mortify,"{{text,'"Late Latin {it}humiliatus{/it}, past participle of {it}humiliare{/it}, from Latin {it}humilis{/it} low {ma}{mat|humble|}{/ma}'"}}",verb,circa 1534,hu*mil*i*ate,hyü-ˈmi-lē-ˌāt,f
tireless,seemingly incapable of tiring : indefatigable,,adjective,1591,tire*less,ˈtī(-ə)r-ləs,f
squeak:2,a sharp shrill cry or sound,,noun,1671{ds||1||},squeak,"",f
flash-forward,interruption of chronological sequence (as in a film or novel) by interjection of events of future occurrence; also : an instance of flash-forward,,noun,1928,flash-for*ward,ˈflash-ˈfȯr-wərd,f
softheaded,"having or indicative of a weak, unrealistic, or uncritical mind",,adjective,1653,soft*head*ed,ˈsȯf(t)-ˌhe-dəd,f
indifference,"the quality, state, or fact of being indifferent",,noun,15th century{ds||1||},in*dif*fer*ence,in-ˈdi-fərn(t)s,f
miscue:1,a faulty stroke in billiards in which the cue slips,,noun,1838{ds||1||},mis*cue,ˌmis-ˈkyü,f
melodrama,a work (such as a movie or play) characterized by extravagant theatricality and by the predominance of plot and physical action over characterization,"{{text,'"modification of French {it}mélodrame{/it}, from Greek {it}melos{/it} song + French {it}drame{/it} drama, from Late Latin {it}drama{/it}'"}}",noun,1802{ds||1|a|},melo*dra*ma,ˈme-lə-ˌdrä-mə,f
precipitate:1,to throw violently : hurl,"{{text,'"Latin {it}praecipitatus{/it}, past participle of {it}praecipitare{/it}, from {it}praecipit-, praeceps{/it} {dx_ety}see {dxt|precipice||}{/dx_ety}'"}}",verb,1528{ds|t|1|a|},pre*cip*i*tate,pri-ˈsi-pə-ˌtāt,f
dicalcium silicate,a calcium silicate 2CaO·SiO2 that is an essential ingredient of portland cement,,noun,1925,di*cal*ci*um silicate,(ˌ)dī-ˈkal-sē-əm-,f
malignity,"malignancy, malevolence",,noun,14th century{ds||1||},ma*lig*ni*ty,mə-ˈlig-nə-tē,f
apprehension,suspicion or fear especially of future evil : foreboding,"{{text,'"Middle English, from Late Latin {it}apprehension-, apprehensio{/it}, from Latin {it}apprehendere{/it} {dx_ety}see {dxt|apprehend||}{/dx_ety}'"}}",noun,14th century{ds||3|a|},ap*pre*hen*sion,ˌa-pri-ˈhen(t)-shən,f
bryophyte,"any of a division (Bryophyta) of nonflowering plants comprising the mosses, liverworts, and hornworts","{{text,'"ultimately from Greek {it}bryon{/it} + {it}phyton{/it} plant; akin to Greek {it}phyein{/it} to bring forth {ma}{mat|be|}{/ma}'"}}",noun,1878,bryo*phyte,ˈbrī-ə-ˌfīt,f
protestant:1,any of a group of German princes and cities presenting a defense of freedom of conscience against an edict of the Diet of Speyer in 1529 intended to suppress the Lutheran movement,"{{text,'"Middle French, from Latin {it}protestant-, protestans{/it}, present participle of {it}protestari{/it}'"}}",noun,1539{ds||1|a|},prot*es*tant,ˈprä-tə-stənt,f
clonazepam,a benzodiazepine C15H10ClN303 used especially as an anticonvulsant in the treatment of epilepsy,"{{text,'"{it}c{/it}h{it}lo{/it}r- + phe{it}n{/it}yl + -{it}azepam{/it} (as in {it}diazepam{/it})'"}}",noun,1970,clo*naz*e*pam,klō-ˈna-zə-ˌpam,f
destine,to decree beforehand : predetermine,"{{text,'"Middle English, from Anglo-French {it}destiner{/it}, from Latin {it}destinare{/it}, from {it}de-{/it} + {it}-stinare{/it} (akin to Latin {it}stare{/it} to stand) {ma}{mat|stand|}{/ma}'"}}",verb,14th century{ds||1||},des*tine,ˈde-stən,f
reemphasize,to emphasize (something) again,,verb,1856,re*em*pha*size,(ˌ)rē-ˈem(p)-fə-ˌsīz,f
yeast:2,"ferment, froth",,verb,1819,yeast,"",f
belch,to expel gas suddenly from the stomach through the mouth,"{{text,'"Middle English, from Old English {it}bealcan{/it}'"}}",verb,before 12th century{ds|i|1||},belch,ˈbelch,f
shady,producing or affording shade,,adjective,1579{ds||1||},shady,ˈshā-dē,f
mountain sheep,"any of various wild sheep (such as bighorn, argali, or Dall sheep) inhabiting high mountains",,noun,1596,mountain sheep,"",f
toddle,to walk with short tottering steps in the manner of a young child,"{{text,'"origin unknown'"}}",verb,circa 1600{ds||1||},tod*dle,ˈtä-dᵊl,f
unintelligible,unable to be understood or comprehended : not intelligible,,adjective,1664,un*in*tel*li*gi*ble,ˌən-in-ˈte-lə-jə-bəl,f
monastery,a house for persons under religious vows; especially : an establishment for monks,"{{text,'"Middle English {it}monasterie{/it}, from Late Latin {it}monasterium{/it}, from Late Greek {it}monastērion{/it}, from Greek, hermit''s cell, from {it}monazein{/it} to live alone, from {it}monos{/it} single {ma}{mat|monk|}{/ma}'"}}",noun,15th century,mon*as*tery,ˈmä-nə-ˌster-ē,f
remonetize,to monetize (something) again: such as,,verb,1875,re*mon*e*tize,(ˌ)rē-ˈmä-nə-ˌtīz,f
Tisza:g,river about 600 miles (965 kilometers) long in eastern Europe flowing from the Carpathian Mountains in western Ukraine west and southwest into the Danube River,,geographical name,,Ti*sza,ˈti-ˌsȯ,f
multiflora rose,a vigorous thorny rose (Rosa multiflora) with clusters of small flowers,"{{text,'"New Latin {it}multiflora{/it}, specific epithet, literally, having many flowers'"}}",noun,1829,mul*ti*flo*ra rose,ˌməl-tə-ˈflȯr-ə-,f
Willard:b1,Emma 1787—1870 née Hart American educator,,biographical name,,Wil*lard,ˈwi-lərd,f
varlet,"attendant, menial","{{text,'"Middle English {it}vadlet, valet, varlet{/it} \'"male servant, groom, knight''s attendant,\'" {ma}{mat|valet:1|}{/ma}'"}}",noun,15th century{ds||1|a|},var*let,ˈvär-lət,f
pressurize,to confine the contents of under a pressure greater than that of the outside atmosphere; especially : to maintain near-normal atmospheric pressure in during high-altitude or spaceflight (as by means of a supercharger),,verb,1938{ds||1||},pres*sur*ize,ˈpre-shə-ˌrīz,f
agglutinate:1,to cause to adhere : fasten,"{{text,'"borrowed from Latin {it}agglūtinātus,{/it} past participle of {it}agglūtināre{/it} \'"to cause to adhere, stick or glue on,\'" from {it}ad-{/it} {et_link|ad-|ad-} + {it}glūtināre{/it} \'"to glue or stick together,\'" verbal derivative of {it}glūtin-, glūten{/it} \'"glue, paste\'" {ma}{mat|clay|}{/ma}'"}}",verb,1586{ds|t|1||},ag*glu*ti*nate,ə-ˈglü-tə-ˌnāt,f
mail:2,to send by mail : post,,verb,1827,mail,"",f
tramcar,streetcar,,noun,1873{ds||1||},tram*car,ˈtram-ˌkär,f
wayside,the side of or land adjacent to a road or path,,noun,15th century,way*side,ˈwā-ˌsīd,f
unwreathe,"uncoil, untwist",,verb,1591,un*wreathe,ˌən-ˈrēt͟h,f
toenail:2,to fasten by toed nails : toe,,verb,1900,toenail,"",f
prehire,occurring or required before hiring someone,,adjective,1946,pre*hire,ˌprē-ˈhī(-ə)r,f
mastodon,any of various extinct mammals (genus Mammut synonym Mastodon) of the elephant family existing from the Miocene through the Pleistocene that are distinguished from the related mammoths chiefly by molar teeth with cone-shaped cusps,"{{text,'"borrowed from New Latin {it}Mastodont-, Mastodon,{/it} genus name, Latinization of French {it}mastodonte,{/it} vernacular name for the animal, from Greek {it}mastós{/it} \'"breast, nipple\'" (probably from a pre-Greek substratal language) + French {it}-odonte{/it} {et_link|-odont|-odont}; so named from the nipple-like cusps on the crowns of the molar teeth'"}}",noun,1811{ds||1||},mas*to*don,ˈma-stə-ˌdän,f
asteroid:1,any of the small rocky celestial bodies found especially between the orbits of Mars and Jupiter,"{{text,'"Greek {it}asteroeidēs{/it} starlike, from {it}aster-, astēr{/it}'"}}",noun,1802{ds||1||},as*ter*oid,ˈa-stə-ˌrȯid,f
peddler,one who peddles: such as,,noun,14th century,ped*dler,ˈped-lər,f
foreclose,to shut out : preclude,"{{text,'"Middle English, from Anglo-French {it}forclos{/it}, past participle of {it}forclore, forsclore{/it}, from {it}fors{/it} outside (from Latin {it}foris{/it}) + {it}clore{/it} to close {ma}{mat|forum|}{/ma}'"}}",verb,15th century{ds|t|1||},fore*close,(ˌ)fȯr-ˈklōz,f
swith,"instantly, quickly","{{text,'"Middle English, strongly, quickly, from Old English {it}swīthe{/it} strongly, from {it}swīth{/it} strong; akin to Goth {it}swinths{/it} strong, Old English {it}gesund{/it} sound {ma}{mat|sound:3|}{/ma}'"}}",adverb,13th century,swith,ˈswith,f
deviant:1,straying or deviating especially from an accepted norm,"{{text,'"{dx_ety}see {dxt|deviate:1||}{/dx_ety}'"}}",adjective,15th century,de*vi*ant,ˈdē-vē-ənt,f
unopened,not opened,,adjective,14th century,un*opened,ˌən-ˈō-pənd,f
lucrative,producing wealth : profitable,"{{text,'"Middle English {it}lucratif{/it}, from Middle French, from Latin {it}lucrativus{/it}, from {it}lucratus{/it}, past participle of {it}lucrari{/it} to gain, from {it}lucrum{/it}'"}}",adjective,15th century,lu*cra*tive,ˈlü-krə-tiv,f
individualise,no definition,,,,in*di*vid*u*al*ise,"",f
squalid,marked by filthiness and degradation from neglect or poverty,"{{text,'"Latin {it}squalidus{/it} rough, dirty, from {it}squalēre{/it} to be covered with scales or dirt, from {it}squalus{/it} dirty; perhaps akin to Latin {it}squama{/it} scale'"}}",adjective,1596{ds||1||},squal*id,ˈskwä-ləd,f
urinate,to discharge urine : micturate,,verb,1599,uri*nate,ˈyər-ə-ˌnāt,f
cantatrice,a woman who is a singer; especially : an opera singer,"{{text,'"Italian & French; French, from Italian, from Late Latin {it}cantatric-, cantatrix{/it}, feminine of Latin {it}cantator{/it} singer, from {it}cantare{/it}'"}}",noun,1801,can*ta*trice,ˌkän-tə-ˈtrē-(ˌ)chā,f
disorganize,to destroy or interrupt the orderly structure or function of,"{{text,'"French {it}désorganiser{/it}, from {it}dés-{/it} dis- + {it}organiser{/it} to organize'"}}",verb,1793,dis*or*ga*nize,(ˌ)dis-ˈȯr-gə-ˌnīz,f
waterbuck,a stocky antelope (Kobus ellipsiprymnus) of sub-Saharan Africa that commonly frequent streams or wet areas,,noun,1838,wa*ter*buck,ˈwȯ-tər-ˌbək,f
multiwavelength,"using, involving, or composed of multiple wavelengths",,adjective,1953,mul*ti*wave*length,ˌməl-tē-ˈwāv-ˌleŋ(k)th,f
runaway:1,"one that runs away from danger, duty, or restraint : fugitive",,noun,1534{ds||1||},run*away,ˈrə-nə-ˌwā,f
trampoline,a resilient sheet or web (as of nylon) supported by springs in a metal frame and used as a springboard and landing area in tumbling,"{{text,'"Italian {it}trampolino{/it} springboard, from {it}trampoli{/it} stilts, of Germanic origin; akin to Middle Low German {it}trampen{/it} to stamp'"}}",noun,1798,tram*po*line,ˌtram-pə-ˈlēn,f
perihelion,the point nearest to the sun in the path of an orbiting celestial body (such as a planet),"{{text,'"New Latin, from {it}peri-{/it} + Greek {it}hēlios{/it} sun {ma}{mat|solar|}{/ma}'"}}",noun,1666,peri*he*lion,ˌper-ə-ˈhēl-yən,f
"facta, non verba:f","acts, not words : actions speak louder than words",,Latin phrase,,"fac*ta, non ver*ba",ˈfäk-tä nōn-ˈver-bä,f
ideology,"a manner or the content of thinking characteristic of an individual, group, or culture","{{text,'"French {it}idéologie{/it}, from {it}idéo-{/it} ideo- + {it}-logie{/it} -logy'"}}",noun,1813{ds||2||},ide*ol*o*gy,ˌī-dē-ˈä-lə-jē,f
decamp,to break up a camp,"{{text,'"French {it}décamper{/it}, from Middle French {it}descamper{/it}, from {it}des-{/it} de- + {it}camper{/it} to camp'"}}",verb,1676{ds||1||},de*camp,di-ˈkamp,f
polity,political organization,"{{text,'"probably borrowed from Late Latin {it}polītīa{/it} \'"citizenship, political organization, constitution of a state, administrative direction,\'" with ending conformed to {et_link|-ity|-ity} {ma}{mat|police:1|}{/ma}'"}}",noun,1538{ds||1||},pol*i*ty,ˈpä-lə-tē,f
triforium,a gallery forming an upper story to the aisle of a church and typically an arcaded story between the nave arches and clerestory,"{{text,'"Medieval Latin'"}}",noun,1703,tri*fo*ri*um,trī-ˈfȯr-ē-əm,f
convene,to come together in a body,"{{text,'"Middle English, from Medieval Latin {it}convenire{/it}, from Latin, to assemble {ma}{mat|convenient|}{/ma}'"}}",verb,15th century{ds|i|||},con*vene,kən-ˈvēn,f
belabour,no definition,,,,be*la*bour,"",f
haystack,a stack of hay,,noun,15th century{ds||1||},hay*stack,ˈhā-ˌstak,f
algebraic,"relating to, involving, or according to the laws of algebra",,adjective,1571{ds||1||},al*ge*bra*ic,ˌal-jə-ˈbrā-ik,f
ghost story,a story about ghosts,,noun,1819{ds||1||},ghost story,"",f
long:3,a long period of time,"{{text,'"{dx_ety}see {dxt|long:1||}{/dx_ety}'"}}",noun,before 12th century{ds||1||},long,"",f
strengthen,to make stronger,,verb,15th century{ds|t|||},strength*en,ˈstreŋ(k)-thən,f
mediate:2,to bring accord out of by action as an intermediary,"{{text,'"Medieval Latin {it}mediatus{/it}, past participle of {it}mediare{/it}, from Late Latin, to be in the middle, from Latin {it}medius{/it} middle'"}}",verb,1578{ds|t|1|a|},me*di*ate,ˈmē-dē-ˌāt,f
enabler,one that enables another to achieve an end; especially : one who enables another to persist in self-destructive behavior (such as substance abuse) by providing excuses or by making it possible to avoid the consequences of such behavior,,noun,1615,en*abler,i-ˈnā-blər,f
automate,to operate by automation,"{{text,'"back-formation from {it}automation{/it}'"}}",verb,1952{ds|t|1||},au*to*mate,ˈȯ-tə-ˌmāt,f
impediment,something that impedes; especially : an impairment (such as a stutter or a lisp) that interferes with the proper articulation of speech,,noun,14th century{ds||1||},im*ped*i*ment,im-ˈpe-də-mənt,f
talisman,an object held to act as a charm to avert evil and bring good fortune,"{{text,'"French {it}talisman{/it} or Spanish {it}talismán{/it} or Italian {it}talismano{/it}; all from Arabic {it}ṭilsam{/it}, from Middle Greek {it}telesma{/it}, from Greek, consecration, from {it}telein{/it} to initiate into the mysteries, complete, from {it}telos{/it} end {ma}{mat|telos|}{/ma}'"}}",noun,1638{ds||1||},tal*is*man,ˈta-ləs-mən,f
wail:1,to express sorrow audibly : lament,"{{text,'"Middle English {it}weilen, waylen{/it}, perhaps modification (influenced by Middle English {it}weilawei{/it} wellaway) of Old Norse {it}væla, vāla{/it} to wail; akin to Old Norse {it}vei{/it} woe {ma}{mat|woe|}{/ma}'"}}",verb,14th century{ds|i|1||},wail,ˈwāl,f
terribly,to an extreme degree : very : extremely,,adverb,15th century{ds||1||},ter*ri*bly,ˈter-ə-blē,f
